"Marca","Fabricante","Modelo","Sistema operativo","Capacidad de la memoria","Memoria extraíble","Resolución del sensor óptico","Valoración","Valoraciones","Precio","Imagen"
"Beafon","Beafon","C140_EU001BS","Eigene","1 GB"," "," ","1.0","1","29.99","Pictures/61XMZbUY45L._AC_SL1500_.jpg"
"ONEPLUS","OnePlus","5011100648","Android 9.0","256 GB"," ","48 MP","4.6","159","671.35","Pictures/71mwLC59dSL._AC_SL1500_.jpg"
"SAMSUNG","Samsung","SM-A920FZBDPHE","Android","128 GB","MicroSD","24 MP","4.4","587","526.05","Pictures/61JbXXXRCtL._AC_SL1200_.jpg"
"Ulefone","Ulefone","Ulefone Note 8","Android 10","16 GB"," ","5 MP","3.9","573"," ","Pictures/61a2pRnLqSL._AC_SL1000_.jpg"
"Docooler","Docooler"," "," ","64 GB"," "," "," "," ","16.99","Pictures/51espmKgfnL._AC_SL1000_.jpg"
"HUAWEI","Huawei Spain","51094241","Android 5.0","16 Modificador desconocido"," ","13 MP","4.4","485","142.42","Pictures/91iNdD6n7sL._AC_SL1500_.jpg"
"Ulefone","Ulefone","Ulefone Note 8","Android 10","16 GB"," ","5 MP","3.9","573"," ","Pictures/61a2pRnLqSL._AC_SL1000_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.253"," ","Pictures/71d2hbpGFGL._AC_SL1500_.jpg"
"SAMSUNG","Samsung","GT-I8190MBNDBT","Android","8 GB"," ","5 MP","4.4","381","159.99","Pictures/916YqvTk5FL._AC_SL1500_.jpg"
"LG","LG","LGD855","Android 4.4.2 Kit Kat","2 GB"," ","13 MP","4.0","878","149.00","Pictures/71SZ%2BjtarVL._AC_SL1500_.jpg"
"HAFURY","Hafury"," ","Android","16 GB"," "," ","3.5","440"," ","Pictures/715CvfRqHfL._AC_SL1500_.jpg"
"Sony","Sony"," ","Android","8 GB"," ","12 MP","3.8","29","712.43","Pictures/51tejb6ttRL._AC_SL1000_.jpg"
"HAFURY","Hafury"," ","Android","16 GB"," "," ","3.5","440"," ","Pictures/715CvfRqHfL._AC_SL1500_.jpg"
"Xiaomi","Xiaomi","MZB9415EU","Android","64 GB"," "," ","4.5","289","179.00","Pictures/61rigsSy3GL._AC_SL1000_.jpg"
"Xiaomi","Xiaomi"," ","Android 10.0","4 GB"," ","48 MP","4.6","366","179.00","Pictures/61JHNnClAVL._AC_SL1000_.jpg"
"HUAWEI","Huawei Spain","HUAWEI ALE-L21","Android 5.0","16 GB"," ","13 MP","3.9","1.735","132.69","Pictures/81hD0l-wWEL._AC_SL1500_.jpg"
"Blackview","Blackview","A60","Android","16 GB","MicroSD","13 MP","4.0","162"," ","Pictures/61tT6cU2LHL._AC_SL1000_.jpg"
"SRQLC","SRQLC"," "," ","512 GB"," ","13 MP"," "," ","139.99","Pictures/6196LLXXwLL._AC_SL1000_.jpg"
"Colinsa","Colinsa"," ","Android","64 GB"," ","16 MP"," "," ","501.77","Pictures/61MmQIjd2VL._AC_SL1001_.jpg"
"Ulefone","Ulefone","Ulefone Armor 7","Android 9.0 Pie","128 GB"," ","48 MP","3.9","172","449.99","Pictures/61%2Bi5DIN2UL._AC_SL1200_.jpg"
"Pomya","Pomya"," ","Android","16 GB"," ","13 MP"," "," "," ","Pictures/51x0XznqsGL._AC_SL1001_.jpg"
"Microsoft Mobile","Nokia","002S1G8","Symbian OS","50 MB"," ","3.15 MP","4.0","159","172.50",""
"Blackview","Blackview","A60","Android","16 GB","MicroSD","13 MP","4.0","162"," ","Pictures/61tT6cU2LHL._AC_SL1000_.jpg"
"SPC","SPC","2305N"," "," "," "," ","3.9","6","29.90","Pictures/61eTSaS0QvL._AC_SL1500_.jpg"
"Xiaomi","Xiaomi","X-VXN4304GL"," "," "," "," ","4.6","18","17.90","Pictures/51leOTa9MhL._AC_SL1000_.jpg"
"HAFURY","Hafury"," ","Android","16 GB"," "," ","3.5","440"," ","Pictures/715CvfRqHfL._AC_SL1500_.jpg"
"Archos","Archos","503557","No_operating_system"," "," ","0.1 MP","5.0","2","22.70","Pictures/81TJF7PbL9L._AC_SL1500_.jpg"
"Realme","Realme"," ","Android 10.0","12 GB"," ","64 MP","4.4","47","420.00",""
"N/P"," "," "," "," "," "," "," "," ","3.28","Pictures/51yGO6MV%2BNL._AC_SL1001_.jpg"
"Pomya","Pomya"," ","Android","16 GB"," ","13 MP"," "," "," ","Pictures/51x0XznqsGL._AC_SL1001_.jpg"
"SAMSUNG","Samsung Foreign Versions","SM-G960FZPDDBT","Android","64 GB"," ","16.8 MP","4.6","161","449.00","Pictures/71PTW%2B3AAZL._AC_SL1500_.jpg"
"Pomya","Pomya"," ","Android","16 GB"," ","13 MP"," "," "," ","Pictures/61LBlgcUjpL._AC_SL1001_.jpg"
"VHNBVHGKGHJ"," "," "," "," "," "," "," "," ","27.99","Pictures/51DT%2BArc9oL._AC_SL1010_.jpg"
"HUAWEI","Huawei Spain","00300789","Android 5.0","16 GB"," ","13 MP","3.9","62","122.90","Pictures/71gfh%2B4yuqL._AC_SL1200_.jpg"
"Lorjoy","Lorjoy"," ","IOS"," "," "," ","1.0","1","5.70","Pictures/51m%2BNPT7NtL._AC_SL1020_.jpg"
"SAMSUNG","Samsung","SM-A605FZKNPHE","Android","32 GB","MicroSD"," ","4.4","587","303.90","Pictures/718fycEFJnL._AC_SL1500_.jpg"
"Ulefone","Ulefone","Ulefone Note 7P","Android 9.0","32 GB","MicroSD","8 MP","3.9","1.804"," ","Pictures/61jnipNuDNL._AC_SL1200_.jpg"
"A ADDTOP","Dongguan Jili Intelligent Technology Co., Ltd.","B02P"," "," "," "," ","4.6","318","25.99","Pictures/71%2Bf4CrdQzL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.254"," ","Pictures/71d2hbpGFGL._AC_SL1500_.jpg"
"Nokia","Nokia","002R706","Propriet\xc3\xa4r","2048 GB"," ","3.2 MP","4.0","294","195.00",""
"Brondi","Brondi","10276050","Proprietario"," "," "," ","4.2","7","73.92","Pictures/71G3-zJo%2B2L._AC_SL1500_.jpg"
"Lenovo","Motorola GmbH","SE4894AD3F1"," "," "," "," ","5.0","1"," ",""
"DOOGEE","DOOGEE"," ","Android\xe2\x84\xa2 9.0 Pie","64 GB","MicroSD","16 MP","4.3","20"," ","Pictures/71GeaZQ4dbL._AC_SL1500_.jpg"
"Oppo","Oppo"," ","Android","12 GB"," ","48 MP","4.1","7","999.00","Pictures/91mFvSFMWIL._AC_SL1500_.jpg"
"Wiko","Wiko","WIKPUL3GDE32GWHIST","Android","64 GB"," ","13 MP","3.9","37","287.30","Pictures/81ztOYX1IkL._AC_SL1500_.jpg"
"Ulefone","Ulefone","Ulefone Note 8","Android 10","16 GB"," ","5 MP","3.9","573"," ","Pictures/61a2pRnLqSL._AC_SL1000_.jpg"
"Motorola","Motorola","PA8X0009ES","Android","3 GB"," ","16 MP","4.1","26","309.00","Pictures/81jE3ACH1iL._AC_SL1500_.jpg"
"Palm","Palm","PVG100E-2A1PWEA","Android","32 GB"," ","12 MP","4.0","69","210.00","Pictures/61FMy6JaG4L._AC_SL1500_.jpg"
"Wiko","Wiko","Y80 bleen","Android 9.0","2 GB"," ","13 MP","4.4","168","138.79","Pictures/81B6SSbm0vL._AC_SL1500_.jpg"
"ASUS","Asus","Zenfone 2 (ZE551ML)","Android 5.1 Lollipop","32 GB"," ","13 MP","3.2","276","314.05","Pictures/91LXSqalxsL._AC_SL1500_.jpg"
"Cell phone"," "," "," "," "," "," "," "," ","81.16","Pictures/51qJwGB%2B7yL._AC_SL1024_.jpg"
"Primux","PRIMUX","PTEVO-50IOS615DB","Android","16 GB"," "," ","5.0","2","195.53","Pictures/51X1-yRg13L._AC_SL1194_.jpg"
"OUKITEL","Emtugee"," ","Android 10.0","16 GB"," "," ","4.4","82","79.99","Pictures/71wt8XtQrGL._AC_SL1500_.jpg"
"Blackview","Blackview","BV5500 Plus","\xf0\x9f\x94\xa5Android 10","32 GB","MicroSD"," ","4.4","231","109.99","Pictures/61kt1KzuY-L._AC_SL1000_.jpg"
"Brondi","Brondi","10274081","Android","32 GB"," ","1.3 MP","3.8","7","32.23","Pictures/81yhVbQOEZL._AC_SL1500_.jpg"
"HAFURY","Hafury"," ","Android","16 GB"," "," ","3.5","440"," ","Pictures/715CvfRqHfL._AC_SL1500_.jpg"
"Crosscall","Crosscall","SPIDER-X5","Syst\xc3\xa8me Propri\xc3\xa9taire","128 MB"," ","2 MP","3.9","22","113.80","Pictures/61OHPLcFH6L._AC_SL1500_.jpg"
"Doro","Doro","360081"," "," "," ","0.3 MP","4.4","206","59.92","Pictures/812CcSh%2BL9L._AC_SL1500_.jpg"
"Xiaomi","Xiaomi"," ","Android 10.0","6 GB"," ","64 MP","4.4","86","368.01","Pictures/51q%2BeiPINCL._AC_SL1000_.jpg"
"Xiaomi","Xiaomi"," "," ","64 GB"," ","64 MP","4.8","7","199.00","Pictures/61YbHSoI5wL._AC_SL1000_.jpg"
"OUKITEL","Emtugee"," "," ","16 GB"," "," ","4.4","82","79.99","Pictures/71fwWZborbL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.254"," ","Pictures/71d2hbpGFGL._AC_SL1500_.jpg"
"M","M"," "," ","64 GB"," ","48 MP","4.3","348","179.00",""
"HAFURY","Hafury"," ","Android","16 GB"," "," ","3.5","440"," ","Pictures/715CvfRqHfL._AC_SL1500_.jpg"
"Blackview","Blackview","Blackview BV6300 Pro"," ","128 GB"," "," ","4.0","11","239.99","Pictures/61ezT3bCBwL._AC_SL1000_.jpg"
"Sony","Sony","1302-8796","Android","3 GB"," ","16 MP","3.3","7","119.00",""
"LG","LG","LGLMX410EOW.AITCBK","Android","16 GB","MicroSD","13 MP","4.5","201"," ","Pictures/81K7bb71rKL._AC_SL1500_.jpg"
"Blackview","Blackview","A80 Pro","\xf0\x9f\x91\x8dAndroid 9.0 (Pie)","64 GB","MicroSD","13 MP","4.3","2.200","119.99","Pictures/51rKP57-dqL._AC_SL1000_.jpg"
"Blackview","Blackview","A60","Android","16 GB","MicroSD","13 MP","4.0","162"," ","Pictures/61tT6cU2LHL._AC_SL1000_.jpg"
"L&F","L&F"," ","Android","4 GB"," ","5 MP"," "," ","65.99","Pictures/61aYy5TsZ9L._AC_SL1001_.jpg"
"Microsoft Mobile","Nokia","0079852"," "," "," "," ","3.7","20"," ",""
"Blackview","Blackview","A80 Pro","\xf0\x9f\x91\x8dAndroid 9.0 (Pie)","64 GB","MicroSD","13 MP","4.3","2.200","119.99","Pictures/51rKP57-dqL._AC_SL1000_.jpg"
"N/P"," "," "," "," "," "," "," "," ","3.28","Pictures/51H0VQ%2Bo85L._AC_SL1001_.jpg"
"Blackview","Blackview"," ","Android 8.1 Oreo","128 GB"," ","16 MP","3.4","370","299.99",""
"HUAWEI","Huawei"," ","Android"," "," "," ","3.6","3","239.99",""
"OUKITEL","Emtugee"," ","Android 10.0","16 GB"," "," ","4.4","82","79.99","Pictures/71wt8XtQrGL._AC_SL1500_.jpg"
"Blackview","Blackview","A60 PRO","Android 9.0","16 GB"," "," ","4.1","210"," ","Pictures/71UgEvUK2VL._AC_SL1500_.jpg"
"SAMSUNG","Samsung","GT-I8190MBNDBT","Android","8 GB"," ","5 MP","4.4","381","159.99","Pictures/916YqvTk5FL._AC_SL1500_.jpg"
"SPC","SPC","2305N"," "," "," "," ","3.9","6","29.90","Pictures/61eTSaS0QvL._AC_SL1500_.jpg"
"Xiaomi","Xiaomi","21312","Android","6 GB"," ","12 MP","4.4","302","409.00",""
"Muvit","Muvit","MUBUM0012"," "," "," "," ","2.0","1","12.64","Pictures/81iEqVtApsL._AC_SL1500_.jpg"
"Doro","Doro","7843","Android","2 GB"," ","13 MP","4.4","32","246.43","Pictures/81hEJ7ryMXL._AC_SL1500_.jpg"
"SUQIAOQIAO"," "," "," "," "," "," "," "," ","495.50","Pictures/61gl4lmr%2BTL._AC_SL1000_.jpg"
"Xiaomi","Xiaomi","19244","Android","32 GB"," ","20 MP","4.3","8.596","239.41","Pictures/615FI9x1MML._AC_SL1000_.jpg"
"Blackview","Blackview","A60","Android","16 GB","MicroSD","13 MP","4.0","158"," ","Pictures/61tT6cU2LHL._AC_SL1000_.jpg"
"SPC","SPC","2305N"," "," "," "," ","3.9","6","29.90","Pictures/61eTSaS0QvL._AC_SL1500_.jpg"
"SAMSUNG","Samsung","SM-N975FZSDDBT","Android","256 GB"," ","12 MP","4.4","140","884.61","Pictures/715lWIYqAaL._AC_SL1500_.jpg"
"HUAWEI","Huawei Spain","VTR-L09","Android","64 GB","MicroSD","20 MP","4.3","616","265.00","Pictures/61YdNuDDVlL._AC_SL1426_.jpg"
"CPO","Apple Computer","IPHONE 8 PLUS","IOS","64 GB"," ","12 MP"," "," ","632.36","Pictures/51YcRE3C4OL._AC_SL1200_.jpg"
"Sony","Sony","H8216IT/LB","Android 8.0","64 GB"," ","19 MP","4.1","82","699.89","Pictures/713c5CnoOgL._AC_SL1500_.jpg"
"Gigaset","Gigaset","S30853-H1505-R101","Android","32 GB"," ","13 MP","4.0","141","145.00","Pictures/61Apz34iKHL._AC_SL1300_.jpg"
"HAFURY","Hafury"," ","Android","16 GB"," "," ","3.5","436"," ","Pictures/715CvfRqHfL._AC_SL1500_.jpg"
"AGG","AGG"," ","Android","512 GB"," ","32 MP","5.0","1","142.77","Pictures/51FWOUmYXoL._AC_SL1001_.jpg"
"Realme","Realme"," ","Android 10.0","12 GB"," ","64 MP","4.3","45","420.00",""
"N/P"," "," "," "," "," "," "," "," ","3.28","Pictures/51yGO6MV%2BNL._AC_SL1001_.jpg"
"Pomya","Pomya"," ","Android","16 GB"," ","13 MP"," "," "," ","Pictures/51x0XznqsGL._AC_SL1001_.jpg"
"Oppo","Oppo","5973430","Android","8 GB"," ","32 MP","4.4","15","284.00","Pictures/71UbWi6rN0L._AC_SL1500_.jpg"
"Xiaomi","Xiaomi"," ","Android 10.0","4 GB"," ","48 MP","4.6","150","179.00","Pictures/61q0aQkfwNL._AC_SL1000_.jpg"
"Pomya","Pomya"," ","Android","16 GB"," ","13 MP"," "," "," ","Pictures/61LBlgcUjpL._AC_SL1001_.jpg"
"VHNBVHGKGHJ"," "," "," "," "," "," "," "," ","27.99","Pictures/51DT%2BArc9oL._AC_SL1010_.jpg"
"HUAWEI","Huawei Spain","00300789","Android 5.0","16 GB"," ","13 MP","3.9","62","122.90","Pictures/71gfh%2B4yuqL._AC_SL1200_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.236"," ","Pictures/71d2hbpGFGL._AC_SL1500_.jpg"
"Lorjoy","Lorjoy"," ","IOS"," "," "," ","1.0","1","5.70","Pictures/51m%2BNPT7NtL._AC_SL1020_.jpg"
"SAMSUNG","Samsung","SM-A605FZKNPHE","Android","32 GB","MicroSD"," ","4.4","587","303.00","Pictures/718fycEFJnL._AC_SL1500_.jpg"
"Nokia","Nokia","002R706","Propriet\xc3\xa4r","2048 GB"," ","3.2 MP","4.0","294","195.00",""
"Lenovo","Motorola GmbH","SE4894AD3F1"," "," "," "," ","5.0","1","199.99",""
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.236"," ","Pictures/71FNe2qb1uL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE"," ","Android\xe2\x84\xa2 9.0 Pie","64 GB","MicroSD","16 MP","4.3","20"," ","Pictures/71GeaZQ4dbL._AC_SL1500_.jpg"
"CUBOT","CUBOT","Quest","Android","32 GB"," ","12 MP","3.9","84","109.99","Pictures/71gr4hIpV9L._AC_SL1500_.jpg"
"Oppo","Oppo"," ","Android","12 GB"," ","48 MP","4.1","7","999.00","Pictures/91mFvSFMWIL._AC_SL1500_.jpg"
"Apple","Apple Computer","MN8Y2QL/A","Ios","32 GB"," ","12 MP","4.5","972","359.00","Pictures/619loDpyOaL._AC_SL1500_.jpg"
"Meizu","Meizu","M5NOTE/M621H 16GOLD","Android","16 GB"," ","13 MP","3.8","41","81.95","Pictures/61TaDXqCRUL._AC_SL1000_.jpg"
"Palm","Palm","PVG100E-2A1PWEA","Android","32 GB"," ","12 MP","4.0","69","289.27","Pictures/61FMy6JaG4L._AC_SL1500_.jpg"
"TTfone","TTfone","Lunar TT750","Native"," ","MicroSD, Tarjeta SIM","0.3 MP","3.9","170","54.24","Pictures/71XdIXBRG6L._AC_SL1500_.jpg"
"ASUS","Asus","Zenfone 2 (ZE551ML)","Android 5.1 Lollipop","32 GB"," ","13 MP","3.2","276","314.04","Pictures/91LXSqalxsL._AC_SL1500_.jpg"
"Cell phone"," "," "," "," "," "," "," "," ","81.16","Pictures/51qJwGB%2B7yL._AC_SL1024_.jpg"
"Primux","PRIMUX","PTEVO-50IOS615DB","Android","16 GB"," "," ","5.0","2","195.53","Pictures/51X1-yRg13L._AC_SL1194_.jpg"
"OUKITEL","Emtugee"," ","Android 10.0","16 GB"," "," ","4.4","82","79.99","Pictures/71wt8XtQrGL._AC_SL1500_.jpg"
"Brondi","Brondi","10274081","Android","32 GB"," ","1.3 MP","3.8","7","32.23","Pictures/81yhVbQOEZL._AC_SL1500_.jpg"
"PRIXTON","PRIXTON"," ","Propietario"," "," "," ","5.0","1","20.66",""
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.239"," ","Pictures/71d2hbpGFGL._AC_SL1500_.jpg"
"Nokia","Nokia","Lumia_520_WH","Windows Phone","8 GB"," ","5 MP","3.5","500","196.50","Pictures/710RHTbLQVL._AC_SL1500_.jpg"
"Blackview","Blackview","Blackview BV6300 Pro"," ","128 GB"," "," ","4.0","11","239.99","Pictures/61ezT3bCBwL._AC_SL1000_.jpg"
"LG","LG","LGLMX410EOW.AITCBK","Android","16 GB","MicroSD","13 MP","4.5","201"," ","Pictures/81K7bb71rKL._AC_SL1500_.jpg"
"Blackview","Blackview","A80 Pro","\xf0\x9f\x91\x8dAndroid 9.0 (Pie)","64 GB","MicroSD","13 MP","4.3","2.182","119.99","Pictures/51rKP57-dqL._AC_SL1000_.jpg"
"Blackview","Blackview","A60","Android","16 GB","MicroSD","13 MP","4.0","160"," ","Pictures/61tT6cU2LHL._AC_SL1000_.jpg"
"Ulefone","Ulefone","Ulefone Note 8","Android 10","16 GB"," ","5 MP","3.9","571"," ","Pictures/61a2pRnLqSL._AC_SL1000_.jpg"
"HUAWEI","Huawei"," ","Android","64 GB"," ","20 MP","4.2","5","229.31",""
"Blackview","Blackview","A80 Pro","\xf0\x9f\x91\x8dAndroid 9.0 (Pie)","64 GB","MicroSD","13 MP","4.3","2.182","119.99","Pictures/51rKP57-dqL._AC_SL1000_.jpg"
"N/P"," "," "," "," "," "," "," "," ","3.28","Pictures/51H0VQ%2Bo85L._AC_SL1001_.jpg"
"Blackview","Blackview"," ","Android 8.1 Oreo","128 GB"," ","16 MP","3.4","370","299.99",""
"DOOGEE","DOOGEE"," ","Android 8.0 Oreo","16 GB"," "," ","3.5","80","65.99",""
"Xiaomi","Xiaomi","Redmi Note 8 PRO","Android","128 GB"," ","64 MP","4.5","308","225.00",""
"HUAWEI","Huawei"," ","Android"," "," "," ","3.6","3","239.99",""
"OUKITEL","Emtugee"," ","Android 10.0","16 GB"," "," ","4.4","82","79.99","Pictures/71wt8XtQrGL._AC_SL1500_.jpg"
"Xiaomi","Xiaomi","21312","Android","6 GB"," ","12 MP","4.4","301","409.00",""
"Doro","Doro","7843","Android","2 GB"," ","13 MP","4.4","32","210.14","Pictures/81hEJ7ryMXL._AC_SL1500_.jpg"
"SUQIAOQIAO"," "," "," "," "," "," "," "," ","495.50","Pictures/61gl4lmr%2BTL._AC_SL1000_.jpg"
"Xiaomi","Xiaomi","19244","Android","32 GB"," ","20 MP","4.3","8.589","239.41","Pictures/615FI9x1MML._AC_SL1000_.jpg"
"SAMSUNG","Samsung","GT-I8190RWADBT","Android 4.1 con Touchwiz","8 GB"," ","5 MP","4.1","1.423","159.99","Pictures/81hoXGN7gIL._AC_SL1500_.jpg"
"Ulefone","Ulefone"," ","Android 10","64 GB"," ","16 MP","4.1","103","119.99","Pictures/71D1%2BrVkxLL._AC_SL1000_.jpg"
"Microsoft Mobile","Deutsche Telekom","99916591","Symbian","20 MB"," ","2 MP","3.5","15","399.99",""
"Apobob","Black Shark"," "," ","8 GB"," ","64 MP"," "," ","528.00","Pictures/61wx7V4sqYL._AC_SL1000_.jpg"
"CONQUEST","CONQUEST","S16"," ","128 GB"," ","48 MP"," "," ","703.59","Pictures/61YW%2BVLh0RL._AC_SL1000_.jpg"
"DOOGEE","DOOGEE","DOOGEE S58 PRO","Android 10.0","64 GB","MicroSD"," ","4.7","189"," ","Pictures/71eb8BXvCIL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE"," ","Android 10","128 GB"," "," ","4.3","25","169.99",""
"SAMSUNG","Samsung","SM-A920FN","Android","128 GB"," ","24 MP","4.5","500","359.00","Pictures/7106pBl7qPL._AC_SL1500_.jpg"
"Ulefone","Ulefone"," ","Android 10.0","64 GB"," ","13 MP","4.7","4","139.99","Pictures/71WyXaqyGeL._AC_SL1000_.jpg"
"Microsoft Mobile","Nokia","002R4V7","Symbian S60 3.2","1024 MB"," "," ","4.0","5","234.79",""
"LG","LG","LGH955ADEUTS","Android","16 GB"," ","13 MP","3.7","624","149.90","Pictures/71-71wM02GL._AC_SL1500_.jpg"
"SAMSUNG","Samsung","SM-G973F/DS","Android","128 GB"," ","12 MP","4.5","1.213","608.59","Pictures/61fPo-nBDBL._AC_SL1000_.jpg"
"HONOR","Honor","8 Pro","Android","64 GB"," ","12 MP","4.2","5.233","329.00",""
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.245"," ","Pictures/71FNe2qb1uL._AC_SL1500_.jpg"
"Microsoft Mobile","Nokia","A00007942","Windows","256 MB"," ","3.2 MP","3.6","25","164.27","Pictures/81RzR3RZmGL._AC_SL1500_.jpg"
"BlackBerry","BlackBerry","PRD-30137-030","BlackBerry 7.0","32 GB","Desconocido","5 MP","3.7","300","69.90",""
"Dilwe","Dilwe"," "," ","32 GB"," "," "," "," ","153.39","Pictures/61OB7I6qYrL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE"," ","Android\xe2\x84\xa2 9 Pie","16 GB","MicroSD"," ","3.5","57","79.99","Pictures/61oKk4yuB9L._AC_SL1500_.jpg"
"Alcatel","Alcatel","5026D-2BALWE1","Not_machine_specific"," ","MicroSD","13 MP","4.0","198","78.00","Pictures/81aF40Omh4L._AC_SL1500_.jpg"
"Nokia","Nokia","48168","Symbian"," "," ","3 MP","4.5","3","290.99",""
"Blackview","Blackview","BV5500 Plus","\xf0\x9f\x94\xa5Android 10","32 GB","MicroSD"," ","4.4","229","109.99","Pictures/61kt1KzuY-L._AC_SL1000_.jpg"
"Blackview","Blackview","A60","Android","16 GB","MicroSD","13 MP","4.0","161"," ","Pictures/61tT6cU2LHL._AC_SL1000_.jpg"
"DOOGEE","DOOGEE"," ","Android","16 GB"," ","13 MP","3.6","386","89.99",""
"Ulefone","Ulefone","Ulefone Note 8 P","Edici\xc3\xb3n de Android 10 Go","16 GB","MicroSD","8 MP","3.8","428"," ","Pictures/51Ei9chFEaL._AC_SL1000_.jpg"
"Microsoft Mobile","Microsoft","002M3M7","Symbian","170 MB"," ","5 MP","4.0","67","262.00","Pictures/81gaas1qAxL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE"," ","Android 10.0","128 GB"," ","16 MP","4.6","190"," ","Pictures/61aVsV8qxeL._AC_SL1500_.jpg"
"Hipipooo","Jinwanyi company"," ","Android 6.0","32 GB"," ","8 MP","3.5","9","155.32","Pictures/71TVxLux3RL._AC_SL1500_.jpg"
"Yctze","Yctze"," ","Android","128 GB"," "," "," "," ","113.79","Pictures/51pZ06UlqeL._AC_SL1001_.jpg"
"NOUS","NOUS"," "," ","32 MB"," "," "," "," ","29.99","Pictures/71fdrOkW2LL._AC_SL1500_.jpg"
"Nokia","Nokia","11PLEB01A18","Android","32 GB"," ","16 MP","4.3","434","264.00","Pictures/81DkydVOqrL._AC_SL1500_.jpg"
"HUAWEI","Huawei","51093RUD","Android","8 GB","MicroSD","40 MP","4.6","8.789"," ","Pictures/61SR-6NhoML._AC_SL1200_.jpg"
"HUAWEI","Huawei","51094WQD","Android","6 GB"," ","48 MP","4.8","77","273.32","Pictures/81la9zI2AvL._AC_SL1500_.jpg"
"HUAWEI","Huawei Spain","51090PAY","Android","16 GB","MicroSD","13 MP","4.0","311","256.59","Pictures/71HxilKKRVL._AC_SL1500_.jpg"
"Xiaomi","Xiaomi","Letosan-mmm42","Android","128 GB"," ","64 MP","4.6","1.801","244.75",""
"HAFURY","Hafury"," ","Android","16 GB"," "," ","3.5","439"," ","Pictures/715CvfRqHfL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.245"," ","Pictures/71d2hbpGFGL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE","S58 PRO","Android 10","64 GB"," "," ","4.2","45","199.99",""
"UMIDIGI","UMIDIGI","UMIDIGI A7 Pro","Android 10","128 GB"," ","16 MP","4.3","1.513"," ","Pictures/71mItH%2BX3ML._AC_SL1000_.jpg"
"Blackview","Blackview","A60","Android","16 GB","MicroSD","13 MP","4.0","161"," ","Pictures/61tT6cU2LHL._AC_SL1000_.jpg"
"UMIDIGI","UMIDIGI","A3S","Android","16 GB"," ","16 MP","4.0","381"," ","Pictures/61LCDexwjmL._AC_SL1000_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.245"," ","Pictures/71d2hbpGFGL._AC_SL1500_.jpg"
"JJA BROS","JJA BROS"," "," ","16 GB"," ","5 MP"," "," ","124.99",""
"A & T","A & T"," "," "," "," "," "," "," ","6.90","Pictures/61TgXIziBeL._AC_SL1000_.jpg"
"Blackview","Blackview","BV5500Plus"," ","32 GB","MicroSD","8 MP","4.1","1.359","109.99","Pictures/71syXaI3TqL._AC_SL1000_.jpg"
"DOOGEE","DOOGEE"," ","Android 8.1 Oreo","128 GB"," "," ","3.2","53","299.99","Pictures/61rMsTWzMwL._AC_SL1001_.jpg"
"Huawai","Huawai"," "," ","512 GB"," ","32 MP"," "," ","109.00","Pictures/61MhzT-IDmL._AC_SL1001_.jpg"
"Doro","Doro","2424","No_operating_system"," "," ","3 MP","3.7","6","66.43","Pictures/71XW9hwqulL._AC_SL1500_.jpg"
"New Majestic","New Majestic","300050_BK"," ","16 GB","MicroSD"," ","4.1","15","57.32","Pictures/51E8JUkAiNL._AC_SL1000_.jpg"
"Handyvertrag.de","Handyvertrag.de"," ","Android"," "," "," "," "," ","6.12","Pictures/611hYD%2BEkaL._AC_SL1000_.jpg"
"Xiaomi","Xiaomi","MI MIX2","Android","64 GB"," ","12 MP","4.4","102","399.21",""
"Xiaomi","Xiaomi","27889","Android 10.0","6 GB"," ","48 MP","4.6","91"," ","Pictures/61%2B6hfRIWVL._AC_SL1000_.jpg"
