"Marca","Fabricante","Modelo","Sistema operativo","Capacidad de la memoria","Memoria extraíble","Resolución del sensor óptico","Valoración","Valoraciones","Precio","Imagen"
"SAMSUNG","Samsung","SM-A307FZGWITV","Android 9 Pie, Default_no_selection_value","4 GB"," ","25 MP","4.6","468"," ","Pictures/71YrE8u68UL._AC_SL1500_.jpg"
"Emporia","Emporia","V25_001","Sonstiges"," "," "," ","4.3","635","63.47","Pictures/717hDF5a%2BzL._AC_SL1500_.jpg"
"Sony","Sony","1320-4791","Android","6 GB"," ","12 MP","4.7","29","699.99","Pictures/71MVslenIJL._AC_SL1500_.jpg"
"KSLLOX","KSLLOX"," "," "," "," "," ","3.0","23","8.58","Pictures/71s4-9%2BMXpL._AC_SL1200_.jpg"
"TTfone","TTfone"," ","TTfone"," "," "," ","3.9","6","27.64","Pictures/71sxVrAlaiL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.239"," ","Pictures/71FNe2qb1uL._AC_SL1500_.jpg"
"L&F","L&F"," "," ","64 GB"," "," ","2.4","5","142.99","Pictures/610CbqGkRhL._AC_SL1001_.jpg"
"SHIEID","SHIEID","TP-Link Neffos C7"," "," "," "," ","3.9","8"," ",""
"Junluck","Junluck"," "," ","128 GB"," "," "," "," ","96.50","Pictures/61DexrcDRRL._AC_SL1001_.jpg"
"LAZA-MLL","LAZA-MLL","Mate40"," "," "," "," "," "," ","132.90","Pictures/71KX0wMv%2B7L._AC_SL1500_.jpg"
"Ulefone","Ulefone","Ulefone Note 8","Android 10","16 GB"," ","5 MP","3.9","571"," ","Pictures/61a2pRnLqSL._AC_SL1000_.jpg"
"Siemens","Siemens","L36880-N7450-A102","Symbian"," "," "," ","4.3","13","370.00",""
"SAMSUNG","Samsung","9602","Android","16 GB"," ","8 MP","3.8","22","208.33",""
"Maxcom","Maxcom"," ","Otro"," "," "," ","3.1","10","65.45","Pictures/61UlBzZOQDL._AC_SL1438_.jpg"
"Nokia","Nokia","6438409032973","S30+","0.02 GB"," "," ","2.0","2","34.98",""
" ","Webla(TM)"," "," "," "," "," "," "," ","111.88","Pictures/51T5wY4qN4L._AC_SL1024_.jpg"
"SAMSUNG","Samsung","SM-A515FZWVEUE","Android 10.0","4 GB"," ","48 MP","4.5","482","279.00","Pictures/71aPGBdnmaL._AC_SL1500_.jpg"
"SUQIAOQIAO"," "," "," "," "," "," "," "," ","766.72","Pictures/61C%2BUuhb-vL._AC_SL1200_.jpg"
"Microsoft Mobile","Nokia","002J256","Symbian","110 MB"," ","2 MP","3.5","18","325.00",""
"Tonysa","Tonysa"," "," ","256 GB"," "," "," "," ","105.79","Pictures/614a%2Bz6vhNL._AC_SL1001_.jpg"
"DOOGEE","DOOGEE"," ","Android","128 GB"," "," ","2.9","7","259.99",""
"Blackview","Blackview","A80 Pro","\xf0\x9f\x8c\xb9Android 9.0 Pie","64 GB","MicroSD","13 MP","4.6","285","119.99","Pictures/61sUG0FuqrL._AC_SL1000_.jpg"
"DOOGEE","DOOGEE"," "," ","64 GB"," ","16 MP","4.2","5","199.99","Pictures/61opWOsrBXL._AC_SL1000_.jpg"
"USHINING","Wemat"," "," ","32 GB"," "," ","3.9","2.062"," ","Pictures/51Ax73j5p-L._AC_SL1001_.jpg"
"Doro","Doro","360272","Android"," ","MicroSD"," ","4.2","231","41.19","Pictures/917P-wJO7EL._AC_SL1500_.jpg"
"SAMSUNG","Samsung","SM-A920FZBDPHE","Android","128 GB","MicroSD","24 MP","4.4","587","359.00","Pictures/61JbXXXRCtL._AC_SL1200_.jpg"
"MIRUSI","L8STAR","BM30"," "," "," "," ","3.9","14","22.96","Pictures/51xvRF%2BppVL._AC_SL1000_.jpg"
"Xiaomi","Xiaomi","6941059650430","Android 10.0","6 GB"," ","64 MP","4.1","108","228.99","Pictures/711XZPqxIcL._AC_SL1500_.jpg"
"Nokia","Nokia","11ND1S01A02","Android 7.1","16 GB"," ","13 MP","4.2","243","125.97","Pictures/61L2fW4B8ZL._AC_SL1002_.jpg"
"Blackview","Blackview","Blackview A80 Pro","\xf0\x9f\x91\x8dAndroid 9.0 (Pie)","64 GB","MicroSD","13 MP","4.3","2.183","119.99","Pictures/61Nzlim9RJL._AC_SL1000_.jpg"
"Blackview","Blackview","A80 Pro","\xf0\x9f\x91\x8dAndroid 9.0 (Pie)","64 GB","MicroSD","13 MP","4.3","2.185","119.99","Pictures/51rKP57-dqL._AC_SL1000_.jpg"
"HUAWEI","Huawei","51093NNN","Android","4 GB"," ","8 MP","4.6","8.786"," ","Pictures/71iPLdFG0jL._AC_SL1200_.jpg"
"HUAWEI","Huawei Spain","MATE 8 DUAL SIM EUROPA","Android 6.0","32 GB"," ","13 MP","4.2","414","197.18","Pictures/81pjiNTIT1L._AC_SL1500_.jpg"
"SUQIAOQIAO"," "," "," "," "," "," "," "," ","127.74","Pictures/51ZM%2BheL2oL._AC_SL1000_.jpg"
"Dilwe","Dilwe"," "," "," "," "," "," "," ","31.99","Pictures/51X2hy3%2BbHL._AC_SL1001_.jpg"
"OUKITEL","Emtugee"," ","Android 10.0","16 GB"," "," ","4.4","82","79.99","Pictures/71wt8XtQrGL._AC_SL1500_.jpg"
"Xiaomi","Xiaomi"," "," ","64 GB"," "," ","4.1","17","229.00","Pictures/61i1YX3Y0BL._AC_SL1000_.jpg"
"Motorola","Motorola","XT2055-1","Android 9.0","4 GB"," ","16 MP","4.3","92","169.50","Pictures/61eXlgBWylL._AC_SL1000_.jpg"
"Vernee","Vernee"," ","Android 8.0 Oreo","64 GB"," ","21 MP","3.6","52","239.99",""
"ASHATA","ASHATA"," "," ","128 GB"," "," "," "," ","100.64","Pictures/61I3rYOLlGL._AC_SL1001_.jpg"
"Vodafone","Vodafone D2 GmbH","300233","Lgos","32 GB"," "," "," "," ","199.99",""
"Quntis","Quntis"," ","IOS"," "," "," ","5.0","2","12.00",""
"OUKITEL","OUKITEL","OUKITEL C19","Android 10.0 Smartphone","16 GB","MicroSD"," ","4.4","62"," ","Pictures/61jcH-6hGGL._AC_SL1080_.jpg"
"Vernee","Vernee"," ","Android","16 GB"," ","13 MP","3.0","11","85.00",""
"SAMSUNG","Samsung","SM-G975FZWDATO","Android 9.0","128 GB"," ","16 MP","4.6","2.364","725.90",""
"Doro","Doro","360272","Android"," ","MicroSD"," ","4.2","232","41.19","Pictures/917P-wJO7EL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE","S88 PRO","Android 10","128 GB"," ","21 MP","4.1","166","269.00",""
"Nokia","Nokia","0057888","Symbian","3.5 MB"," "," ","3.8","17","220.00",""
"Ulefone","Ulefone","Ulefone Note 8","Android 10","16 GB"," ","5 MP","3.9","573"," ","Pictures/61a2pRnLqSL._AC_SL1000_.jpg"
"Realme","Realme"," ","Android","128 GB"," ","48 MP","4.1","28"," ",""
"Motorola","Motorola","PAJE0024DE","Android 9.0","2 GB"," ","13 MP","4.3","977","99.00","Pictures/813-dN8BVYL._AC_SL1500_.jpg"
"QWEIAS","QWEIAS"," ","Android","8 GB"," ","18 MP"," "," ","100.99","Pictures/61IQMTx4jaL._AC_SL1000_.jpg"
"Blackview","Blackview","A60","Android","16 GB","MicroSD","13 MP","4.0","161"," ","Pictures/61tT6cU2LHL._AC_SL1000_.jpg"
"Blackview","Blackview","A60","Android","16 GB","MicroSD","13 MP","4.0","161"," ","Pictures/61tT6cU2LHL._AC_SL1000_.jpg"
"USHINING","Wemat"," "," ","32 GB","MicroSDHC"," ","3.9","2.063"," ","Pictures/51-me9LqvVL._AC_SL1000_.jpg"
"Xiaomi","Xiaomi"," ","Android 5.0","64 GB"," ","48 MP","4.2","62","172.00","Pictures/51U3aX5R8BL._AC_SL1000_.jpg"
"Microsoft Mobile","Nokia","0034503","Symbian Series40","64 MB"," ","0.5 MP","3.2","7","1.499.99",""
"Vernee","Vernee"," ","Android 8.0 Oreo","64 GB"," ","21 MP","3.6","52","239.99",""
"Alcatel","Alcatel","4894461785943"," "," "," ","1.3 MP","4.0","765","24.99","Pictures/71lYkwnOKNL._AC_SL1500_.jpg"
"HUAWEI","HUAWEI","51095DDQ","Android","4 GB"," ","48 MP","3.7","89","143.33","Pictures/51%2BR4LugwWL._AC_SL1024_.jpg"
"Xiaomi","Xiaomi","MZB8819EU","Android","32 GB"," ","12 MP","4.0","2","139.00","Pictures/51u8HxQgixL._AC_SL1000_.jpg"
"OUKITEL","Emtugee"," ","Android 10.0","16 GB"," "," ","4.4","82","79.99","Pictures/71wt8XtQrGL._AC_SL1500_.jpg"
